Unique ID;Name;Division;UF
314.309;Cabo Branco (PB);Sem divisão nacional;PB
301.247;Cabofriense;Sem divisão nacional;RJ
19.052.629;Caçadorense;Sem divisão nacional;SC
19.019.939;Cacerense;Sem divisão nacional;MT
313.222;Cáceres;Sem divisão nacional;MT
311.957;Cachoeiro;Sem divisão nacional;ES
2.000.012.133;Caeté;Sem divisão nacional;PA
313.299;Caiçara;Sem divisão nacional;PI
19.005.303;Calafete (MG);Sem divisão nacional;MG
301.182;Caldense;Sem divisão nacional;MG
313.675;Calouros do Ar;Sem divisão nacional;CE
301.115;Camaçari;Sem divisão nacional;BA
8.832.329;Camaçariense;Sem divisão nacional;BA
19.066.402;Cambará;Sem divisão nacional;PR
19.023.901;Cambé;Sem divisão nacional;PR
8.832.366;Camboriú;Brasileirão Série D;SC
19.112.044;Cametá;Sem divisão nacional;PA
19.152.077;Campineira;Sem divisão nacional;SP
301.210;Campinense;Brasileirão Série D;PB
19.342.669;Campo Grande (CE);Sem divisão nacional;CE
301.249;Campo Grande (RJ);Sem divisão nacional;RJ
19.066.531;Campo Mourão;Sem divisão nacional;PR
2.000.255.424;Campo Novo;Sem divisão nacional;MT
19.325.790;Campos (RJ);Sem divisão nacional;RJ
312.294;Campos Elísios;Sem divisão nacional;SP
19.382.026;Canaã (DF);Sem divisão nacional;DF
2.000.281.081;Canaã (PA);Sem divisão nacional;PA
19.023.909;Canindé;Sem divisão nacional;SE
314.976;Canoas SC;Sem divisão nacional;RS
19.204.044;Canoinhas;Sem divisão nacional;SC
311.112;Canto do Rio;Sem divisão nacional;RJ
313.442;Capelense (AL);Sem divisão nacional;AL
19.005.469;Capital (DF);Sem divisão nacional;DF
19.275.235;Capital (TO);Sem divisão nacional;TO
2.000.152.145;Capitão Poço;Sem divisão nacional;PA
318.891;Capivariano;Sem divisão nacional;SP
19.143.843;Capixaba;Sem divisão nacional;ES
308.940;Carajás;Sem divisão nacional;PA
19.169.995;Carapebus;Sem divisão nacional;RJ
2.000.133.606;Caravaggio (SC);Sem divisão nacional;SC
19.112.462;Carazinho;Sem divisão nacional;RS
2.000.004.151;Carbonífera;Sem divisão nacional;RJ
314.782;Carioca (RJ);Sem divisão nacional;RJ
2.000.079.925;Cariri;Sem divisão nacional;CE
19.341.556;Carlos Renaux;Sem divisão nacional;SC
2.000.288.716;Carmópolis;Sem divisão nacional;SE
19.338.533;Caruaru City;Sem divisão nacional;PE
301.370;Cascavel CR;Sem divisão nacional;PR
19.046.984;Cascavel EC;Sem divisão nacional;PR
311.962;Casimiro de Abreu;Sem divisão nacional;RJ
313.234;Cassilandense;Sem divisão nacional;MS
301.206;Castanhal;Sem divisão nacional;PA
19.128.177;Castelense (ES);Sem divisão nacional;ES
313.355;Castelo;Sem divisão nacional;ES
19.354.437;Catanduva;Sem divisão nacional;SP
314.784;Cattete;Sem divisão nacional;RJ
311.960;Catuense;Sem divisão nacional;BA
19.019.862;Caucaia;Brasileirão Série D;CE
301.266;Caxias;Brasileirão Série D;RS
314.320;Caxias (ES);Sem divisão nacional;ES
309.744;Caxias (SC);Sem divisão nacional;SC
311.949;Caxiense;Sem divisão nacional;MA
19.048.283;CDC;Sem divisão nacional;
313.515;CEA (AP);Sem divisão nacional;AP
311.103;CEAC/Araruama;Sem divisão nacional;RJ
104.749;Ceará;Brasileirão Série B Betano;CE
2.000.235.287;Ceart;Sem divisão nacional;MS
2.000.029.691;CEFAT;Sem divisão nacional;CE
313.351;Ceilandense;Sem divisão nacional;DF
311.000;Ceilândia;Brasileirão Série D;DF
311.955;CENE;Sem divisão nacional;MS
301.230;Central (PE);Sem divisão nacional;PE
320.390;Central de Barra;Sem divisão nacional;RJ
2.000.232.734;Central Paraíso;Sem divisão nacional;RJ
309.614;Centro Limoeirense;Sem divisão nacional;PE
2.000.154.412;Centro Oeste;Sem divisão nacional;GO
19.019.936;CEO;Sem divisão nacional;AL
19.045.623;Cerâmica;Sem divisão nacional;RS
311.964;Ceres (RJ);Sem divisão nacional;RJ
2.000.138.605;Cerrado (GO);Sem divisão nacional;GO
314.614;CEUB (DF);Sem divisão nacional;DF
314.735;CFA;Sem divisão nacional;
313.352;CFZ (DF);Sem divisão nacional;DF
107.228;CFZ (RJ);Sem divisão nacional;RJ
8.832.346;Chã Grande;Sem divisão nacional;PE
318.918;Chapadinha;Sem divisão nacional;MA
301.304;Chapecoense;Brasileirão Série B Betano;SC
314.600;Cianorte;Sem divisão nacional;PR
309.767;CIP (SC);Sem divisão nacional;SC
19.152.072;Civilsan;Sem divisão nacional;DF
309.650;Clíper;Sem divisão nacional;AM
314.313;Clube Astréa;Sem divisão nacional;PB
19.152.071;Coenge;Sem divisão nacional;DF
19.143.263;Coimbra;Sem divisão nacional;MG
314.328;Colatina (ES);Sem divisão nacional;ES
19.151.901;Colatina SE;Sem divisão nacional;ES
313.337;Colinas;Sem divisão nacional;TO
301.117;Colo-Colo (BA);Sem divisão nacional;BA
19.152.066;Colombo (DF);Sem divisão nacional;DF
