1937;;1959;;1960;;1961;;1962;;1963;;1964;;1965;;1966;;1967;
;Renaldo (Atlético Mineiro);4.º colocado;Fluminense;Melhor defesa (fase inicial);Sport – 22 gols;Colocações finais;;;Grêmio Prudente;Vice-campeão;São Caetano;2011;;Estatísticas;;Rebaixado(s);Criciúma;Melhor marcador;Romário (Vasco da Gama) – 22 gols
Melhor ataque (fase inicial);42 gols:;Rebaixado(s);Corinthians;2008;;Campeão;Flamengo (5.º título);Estatísticas;;Rebaixado(s);Santa Cruz;Colocações finais;;Melhor marcador;Dimba (Goiás) – 31 gols;;Guarani;Melhor ataque (fase inicial);Corinthians – 87 gols
;Palmeiras;;Paraná;Colocações finais;;Vice-campeão;Internacional;Melhor marcador;Jonas (Grêmio) – 23 gols;;América Mineiro;Campeão;Corinthians (5º título);Melhor ataque (fase inicial);Cruzeiro – 102 gols;;Vitória;Melhor defesa (fase inicial);Internacional – 49 gols
;Grêmio;;Juventude;Campeão;São Paulo (6.º título);3.º colocado;São Paulo;Melhor ataque;Grêmio – 68 gols;;Botafogo-SP;Vice-campeão;Vasco da Gama;Melhor defesa (fase inicial);São Caetano – 37 gols;;Grêmio;Premiações;
Melhor defesa (fase inicial);Guarani – 14 gols;;América de Natal;Vice-campeão;Grêmio;4.º colocado;Cruzeiro;Melhor defesa;Fluminense – 36 gols;;Sport;3.º colocado;Fluminense;Premiações;;Estatísticas;;Melhor jogador;Carlos Tévez (Corinthians)
2006;;Estatísticas;;3.º colocado;Cruzeiro;Rebaixado(s);Coritiba;Premiações;;Estatísticas;;4.º colocado;Flamengo;Melhor jogador;Alex (Cruzeiro);Melhor marcador;Washington (Atlético Paranaense) – 34 gols;(CBF);
Colocações finais;;Melhor marcador;Josiel (Paraná) – 20 gols;4.º colocado;Palmeiras;;Santo André;Melhor jogador;Darío Conca (Fluminense)[1];Melhor marcador;Romário (Vasco da Gama) – 21 gols;Rebaixado(s);Atlético Paranaense;(Placar);;Melhor ataque (fase inicial);Santos – 103 gols;Melhor treinador;Muricy Ramalho (Internacional-RS)
Campeão;São Paulo (4º título);Melhor ataque (fase inicial);Cruzeiro – 73 gols;Rebaixado(s);Figueirense;;Náutico;(CBF);;Melhor ataque (fase inicial);58 gols:;;Ceará;Melhor treinador;Vanderlei Luxemburgo (Cruzeiro);Melhor defesa (fase inicial);São Paulo – 43 gols;Melhor árbitro;Leonardo Gaciba (RS)
Vice-campeão;Internacional;Melhor defesa (fase inicial);São Paulo – 19 gols;;Vasco da Gama;;Sport;Melhor treinador;Muricy Ramalho (Fluminense)[1];;Atlético Paranaense;;América Mineiro;2012;;Premiações;;2014;
Rebaixado(s);Ponte Preta;Premiações;;;Portuguesa;Estatísticas;;Melhor árbitro;Sandro Ricci (DF)[1];Melhor defesa (fase inicial);25 gols:;;Avaí;Colocações finais;;Melhor jogador;Robinho (Santos);Colocações finais;
;Fortaleza;Melhor jogador;Rogério Ceni (São Paulo);;Ipatinga;Melhor marcador;19 gols:;2019;;;São Caetano;Estatísticas;;Campeão;Fluminense (4º título);(Bola de Ouro Placar);;Campeão;Cruzeiro (4º título)
;São Caetano;(CBF);;Estatísticas;;;Adriano (Flamengo);Colocações finais;;2020;;Melhor marcador;Borges (Santos) – 23 gols;Vice-campeão;Atlético Mineiro;2013;;Vice-campeão;São Paulo
;Santa Cruz;Melhor treinador;Muricy Ramalho (São Paulo);Melhor marcador;21 gols:;;Diego Tardelli (Atlético Mineiro);Campeão;Flamengo (6.º título);Colocações finais;;Melhor ataque;Fluminense – 60 gols;3.º colocado;Grêmio;Colocações finais;;3.º colocado;Internacional
Estatísticas;;Melhor árbitro;Leonardo Gaciba (RS);;Keirrison (Coritiba);Melhor ataque (fase inicial);Grêmio – 67 gols;Vice-campeão;Santos;Campeão;Flamengo (7.º título);Melhor defesa;Corinthians – 36 gols;4.º colocado;São Paulo;Campeão;Cruzeiro (3º título);4.º colocado;Corinthians
Melhor marcador;Souza (Goiás) – 17 gols;2016;;;Kléber Pereira (Santos);Melhor defesa (fase inicial);São Paulo – 42 gols;3.º colocado;Palmeiras;Vice-campeão;Internacional;Premiações;;Rebaixado(s);Sport;Vice-campeão;Grêmio;Rebaixado(s);Vitória
Melhor ataque (fase inicial);São Paulo – 66 gols;Colocações finais;;;Washington (Fluminense);Premiações;;4.º colocado;Grêmio;3.º colocado;Atlético Mineiro;Melhor jogador;Neymar (Santos);;Palmeiras;3.º colocado;Atlético Paranaense;;Bahia
Melhor defesa (fase inicial);São Paulo – 32 gols;Campeão;Palmeiras (9º título);Melhor ataque (fase inicial);Flamengo – 67 gols;Melhor jogador;Diego Souza (Palmeiras)[1];Rebaixado(s);Cruzeiro;4.º colocado;São Paulo;(CBF);;;Figueirense;4.º colocado;Botafogo;;Botafogo
Premiações;;Vice-campeão;Santos;Melhor defesa (fase inicial);Grêmio – 35 gols;(CBF);;;CSA;Rebaixado(s);Vasco da Gama;Melhor treinador;Ricardo Gomes;;Atlético Goianiense;Rebaixado(s);Portuguesa;;Criciúma
Melhor jogador;Rogério Ceni (São Paulo);3.º colocado;Flamengo;Premiações;;Melhor treinador;Andrade (Flamengo)[2];;Chapecoense;;Goiás;;Cristóvão Borges (Vasco da Gama);Premiações;;;Vasco da Gama;Estatísticas;
(CBF);;4.º colocado;Atlético Mineiro;Melhor jogador;Hernanes (São Paulo)[1];2018;;;Avaí;;Coritiba;Melhor árbitro;Leandro Pedro Vuaden (RS);Melhor jogador;Fred (Fluminense);;Ponte Preta;Melhor marcador;Fred (Fluminense) – 18 gols
Melhor treinador;Muricy Ramalho (São Paulo);Rebaixado(s);Internacional;(CBF);;Colocações finais;;Estatísticas;;;Botafogo;2021;;(CBF);;;Náutico;Melhor ataque;Cruzeiro – 67 gols
Melhor árbitro;Leonardo Gaciba (RS);;Figueirense;Melhor treinador;Muricy Ramalho (São Paulo)[2];Campeão;Palmeiras (10.º título);Melhor marcador;Gabriel (Flamengo) – 25 gols;Estatísticas;;Colocações finais;;Melhor treinador;Abel Braga (Fluminense);Estatísticas;;Melhor defesa;Grêmio – 24 gols
2015;;;Santa Cruz;2017;;Vice-campeão;Flamengo;Melhor ataque;Flamengo – 86 gols;Melhor marcador;18 gols:;Campeão;Atlético Mineiro (3.º título);Melhor árbitro;Wilton Pereira Sampaio (GO);Melhor marcador;Éderson (Atlético Paranaense) – 21 gols;Premiações;
Colocações finais;;;América Mineiro;Colocações finais;;3.º colocado;Internacional;Melhor defesa;São Paulo – 30 gols;;Claudinho (Red Bull Bragantino);Vice-campeão;Flamengo;2022;;Melhor ataque;Cruzeiro – 77 gols;Melhor jogador;Éverton Ribeiro (Cruzeiro)[1]
