1981;;;;;;;;;;Colocações finais;;;;;;;;;;;;;
Time;;PG;J;V;E;D;GP;GC;SG;Campeão; Olaria (1ª título);;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
1992;;;;;;;;;;;;;;;;;;;;;;;
Tabela de classificação;;;;;;;;;;Colocações finais;;;;;;;;;;;;;
C;Time;PG;J;V;E;D;GP;GC;SG;Campeão; Tuna Luso (1º título);;;;;;;;;;;;
1; Tuna Luso;22;14;9;4;1;17;6;11;Vice-campeão; Fluminense de Feira;;;;;;;;;;;;
2; Fluminense de Feira;16;12;6;4;2;21;9;12;Estatísticas;;;;;;;;;;;;;
3; Nacional-AM;16;12;6;4;2;12;4;8;Melhor marcador;Jorge Veras (Ferroviário);;;;;;;;;;;;
4; Matsubara;13;10;5;3;2;18;12;6;A maior goleada do Campeonato Brasileiro Série C de 1992 foi a vitória do Fluminense de Feira por 5 a 0 sobre o Sergipe;;;;;;;;;;;;;
5; Auto Esporte;13;12;5;3;4;13;11;2;;;;;;;;;;;;;;
6; Operário Ferroviário;10;10;4;2;2;13;8;5;;;;;;;;;;;;;;
7; Rio Pardo;10;6;3;4;1;7;4;3;;;;;;;;;;;;;;
8; CRB;10;8;4;2;2;11;7;4;;;;;;;;;;;;;;
9; Moto Club;10;8;4;2;2;8;6;2;;;;;;;;;;;;;;
10; Rio Negro-AM;9;8;3;3;2;9;6;3;;;;;;;;;;;;;;
11; Vitória-PE;9;8;3;3;2;11;10;1;;;;;;;;;;;;;;
12; Macapá;8;8;1;6;1;7;7;0;;;;;;;;;;;;;;
13; Chapecoense;7;6;3;1;2;9;8;1;;;;;;;;;;;;;;
14; Grêmio Maringá;7;6;3;1;2;5;5;0;;;;;;;;;;;;;;
15; São Bento;7;6;3;1;2;7;8;-1;;;;;;;;;;;;;;
16; Ferroviário;7;8;3;1;4;12;14;-2;;;;;;;;;;;;;;
17; Atlético Goianiense;7;6;2;3;1;6;3;2;;;;;;;;;;;;;;
18; Guará;7;6;2;3;1;4;3;1;;;;;;;;;;;;;;
19; Catuense;7;6;2;3;1;4;4;0;;;;;;;;;;;;;;
20; Atlético Acreano;6;8;1;4;3;4;5;-1;;;;;;;;;;;;;;
21; Sampaio Corrêa;6;8;1;4;3;5;9;-4;;;;;;;;;;;;;;
22; Ji-Paraná;5;8;2;1;5;5;13;-8;;;;;;;;;;;;;;
23; ASA;5;6;1;3;2;4;5;-1;;;;;;;;;;;;;;
24; Izabelense;5;6;1;3;2;11;14;-3;;;;;;;;;;;;;;
25; Flamengo-PI;5;6;1;3;2;11;9;-4;;;;;;;;;;;;;;
26; Marília;4;6;2;0;4;6;8;-2;;;;;;;;;;;;;;
27; Rio Branco-MG;4;6;2;0;4;5;7;-2;;;;;;;;;;;;;;
28; Sergipe;3;6;0;3;3;4;11;-7;;;;;;;;;;;;;;
29; Treze;3;6;0;3;3;8;17;-9;;;;;;;;;;;;;;
30; Tiradentes-DF;2;6;1;0;5;2;9;-7;;;;;;;;;;;;;;
31; Blumenau;1;6;0;1;5;1;9;-8;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
1994;;;;;;;;;;;;;;;;;;;;;;;
Tabela de classificação;;;;;;;;;;Detalhes das Maiores Vitórias de 1994;;;;;;;;;;;;;
C;Time;PG;J;V;E;D;GP;GC;SG;Novorizontino 5 x 0 Atlético Sorocaba (2 de outubro de 1994, em Novo Horizonte);;;;;;;;;;;;;
1; Novorizontino;26;16;11;4;1;35;13;22;Novorizontino 5 x 0 Ferroviária (9 de dezembro de 1994, em Novo Horizonte — jogo de volta da final);;;;;;;;;;;;;
