1981;;;;;;;;;;Colocações finais;;;;;;;;;;;;;
Time;;PG;J;V;E;D;GP;GC;SG;Campeão; Olaria (1ª título);;;;;;;;;;;;
3; União Bandeirante;16;12;4;4;4;17;23;;;;;;;;;;;;;;;
4; Madureira;14;12;3;5;4;20;15;;;;;;;;;;;;;;;
5; Internacional de Limeira;13;12;3;4;5;18;17;;;;;;;;;;;;;;;
6; União Rondonópolis;10;12;3;1;8;12;28;;;;;;;;;;;;;;;
7; Comercial;10;12;3;1;8;9;31;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;Classificado para a segunda fase do Módulo Branco;;;;;;;;;;;;;;;;;;;;;;
Grupo G;;;;;;;;;;;;;;;;;;;;;;;
Módulo Branco;;;;;;;;;;;;;;;;;;;;;;;
Pos;Times;Pts;J;V;E;D;GM;GS;;;;;;;;;;;;;;;
1; Olímpia;20;12;5;5;2;16;11;;;;;;;;;;;;;;;
2; Friburguense;18;12;4;6;2;11;10;;;;;;;;;;;;;;;
3; Matonense;17;12;4;5;3;15;13;;;;;;;;;;;;;;;
4; São Cristovão;16;12;4;4;4;13;16;;;;;;;;;;;;;;;
5; Mogi Mirim;16;12;3;7;2;23;17;;;;;;;;;;;;;;;
6; Ipatinga;13;12;3;4;5;16;20;;;;;;;;;;;;;;;
7; União Barbarense;9;12;2;3;7;12;19;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;Classificado para a segunda fase do Módulo Branco;;;;;;;;;;;;;;;;;;;;;;
Grupo H;;;;;;;;;;;;;;;;;;;;;;;
Módulo Branco;;;;;;;;;;;;;;;;;;;;;;;
Pos;Times;Pts;J;V;E;D;GM;GS;;;;;;;;;;;;;;;
1; Rio Branco-PR;21;10;6;3;1;16;8;;;;;;;;;;;;;;;
2; Portuguesa Santista;19;10;5;4;1;19;9;;;;;;;;;;;;;;;
3; Santo André;12;10;3;3;4;11;14;;;;;;;;;;;;;;;
4; Ituano;11;10;3;2;5;10;10;;;;;;;;;;;;;;;
5; Olaria;11;10;3;2;5;9;10;;;;;;;;;;;;;;;
6; Internacional de Santa Maria;8;10;2;2;6;7;21;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;Classificado para a segunda fase do Módulo Branco;;;;;;;;;;;;;;;;;;;;;;
Grupo 1;;;;;;;;;;;;;;;;;;;;;;;
Módulo Verde;;;;;;;;;;;;;;;;;;;;;;;
Pos;Times;Pts;J;V;E;D;GM;GS;;;;;;;;;;;;;;;
1; Juazeiro;12;6;4;0;2;13;7;;;;;;;;;;;;;;;
2; Tuna Luso;12;6;4;0;2;8;9;;;;;;;;;;;;;;;
3; Ypiranga-AP;9;6;3;0;3;10;10;;;;;;;;;;;;;;;
4; Atlético Goianiense;3;6;1;0;5;7;12;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;Classificado para a terceira fase;;;;;;;;;;;;;;;;;;;;;;
Grupo 2;;;;;;;;;;;;;;;;;;;;;;;
Módulo Verde;;;;;;;;;;;;;;;;;;;;;;;
Pos;Times;Pts;J;V;E;D;GM;GS;;;;;;;;;;;;;;;
1; Central;10;6;3;1;2;9;7;;;;;;;;;;;;;;;
2; Tocantinópolis;9;6;3;0;3;8;10;;;;;;;;;;;;;;;
3; Corinthians-AL;8;6;2;2;2;11;9;;;;;;;;;;;;;;;
4; Dom Pedro II;6;6;1;3;2;6;8;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;Classificado para a terceira fase;;;;;;;;;;;;;;;;;;;;;;
Grupo 3;;;;;;;;;;;;;;;;;;;;;;;
Módulo Verde;;;;;;;;;;;;;;;;;;;;;;;
Pos;Times;Pts;J;V;E;D;GM;GS;;;;;;;;;;;;;;;
1; Moto Club;11;6;3;2;1;8;8;;;;;;;;;;;;;;;
2; Operário-MS;8;6;2;2;2;8;12;;;;;;;;;;;;;;;
3; Flamengo-PI;7;6;2;1;3;13;11;;;;;;;;;;;;;;;
4; Confiança;7;6;2;1;3;11;9;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;Classificado para a terceira fase;;;;;;;;;;;;;;;;;;;;;;
Grupo 4;;;;;;;;;;;;;;;;;;;;;;;
Módulo Branco;;;;;;;;;;;;;;;;;;;;;;;
Pos;Times;Pts;J;V;E;D;GM;GS;;;;;;;;;;;;;;;
1; Malutrom;14;6;4;2;0;10;3;;;;;;;;;;;;;;;
2; Rio Branco-SP;9;6;3;0;3;8;6;;;;;;;;;;;;;;;
3; Friburguense;5;6;1;2;3;4;6;;;;;;;;;;;;;;;
4; Santo André;5;6;1;2;3;5;12;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;Classificado para a terceira fase;;;;;;;;;;;;;;;;;;;;;;
Grupo 5;;;;;;;;;;;;;;;;;;;;;;;
Módulo Branco;;;;;;;;;;;;;;;;;;;;;;;
Pos;Times;Pts;J;V;E;D;GM;GS;;;;;;;;;;;;;;;
1; Etti Jundiaí;13;6;4;1;1;13;7;;;;;;;;;;;;;;;
2; Portuguesa Santista;8;6;2;2;2;7;7;;;;;;;;;;;;;;;
3; Juventus;7;6;2;1;3;11;7;;;;;;;;;;;;;;;
4; Matonense;5;6;1;2;3;4;14;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;Classificado para a terceira fase;;;;;;;;;;;;;;;;;;;;;;
Grupo 6;;;;;;;;;;;;;;;;;;;;;;;
Módulo Branco;;;;;;;;;;;;;;;;;;;;;;;
Pos;Times;Pts;J;V;E;D;GM;GS;;;;;;;;;;;;;;;
1; Uberlândia;11;6;3;2;1;11;7;;;;;;;;;;;;;;;
2; Olímpia;11;6;3;2;1;7;5;;;;;;;;;;;;;;;
3; Rio Branco-PR;11;6;3;2;1;6;5;;;;;;;;;;;;;;;
4; União Bandeirante;0;6;0;0;6;5;12;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;Classificado para a terceira fase;;;;;;;;;;;;;;;;;;;;;;
Grupo 1;;;;;;;;;;;;;;;;;;;;;;;
Final dos Módulos;;;;;;;;;;;;;;;;;;;;;;;
Pos;Times;Pts;J;V;E;D;GM;GS;;;;;;;;;;;;;;;
1; Uberlândia;11;6;3;2;1;10;4;;;;;;;;;;;;;;;
2; Juazeiro;11;6;3;2;1;6;4;;;;;;;;;;;;;;;
3; Olímpia;8;6;2;2;2;8;5;;;;;;;;;;;;;;;
4; Central;2;6;0;2;4;3;14;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;Classificado para a quarta fase;;;;;;;;;;;;;;;;;;;;;;
Grupo 2;;;;;;;;;;;;;;;;;;;;;;;
Final dos Módulos;;;;;;;;;;;;;;;;;;;;;;;
Pos;Times;Pts;J;V;E;D;GM;GS;;;;;;;;;;;;;;;
1; Malutrom;11;6;3;2;1;12;11;;;;;;;;;;;;;;;
2; Tuna Luso;9;6;3;0;3;9;11;;;;;;;;;;;;;;;
3; Etti Jundiaí;8;6;2;2;2;15;6;;;;;;;;;;;;;;;
4; Moto Club;5;6;1;2;3;9;17;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
2001;;;;;;;;;;;;;;;;;;;;;;;
Grupo A;;;;;;;;;;;Colocações finais;;;;;;;;;;;;
Pos.;Equipes;P;J;V;E;D;GP;GC;SG;Classificação;Campeão;Etti Jundiaí;;;;;;;;;;;
1; Ypiranga-AP;23;12;7;2;3;20;14;6;Classificados à próxima fase;Vice-campeão;Mogi Mirim;;;;;;;;;;;
2; Rio Negro-RR;21;12;5;6;1;18;10;8;;Promovido(s);Etti Jundiaí;;;;;;;;;;;
3; Águia de Marabá;19;12;5;4;3;18;14;4;;;Mogi Mirim;;;;;;;;;;;
4; Rio Negro-AM;17;12;5;2;5;28;22;6;;;Guarany de Sobral;;;;;;;;;;;
5; Tiradentes-PA;15;12;4;3;5;22;17;5;;Estatísticas;;;;;;;;;;;;
6; Andirá;14;12;4;2;7;15;19;–4;;Melhor marcador;14 gols:[1];;;;;;;;;;;
7; Genus;7;12;2;1;9;13;38;–25;;;Edmilson (Brasiliense);;;;;;;;;;;
;;;;;;;;;;;;Jean Carlos (Etti Jundiaí);;;;;;;;;;;
;AGM;AND;GEN;RNE;RNR;TPA;YCL;;;;;Rodrigo Ayres (Atlético Goianiense);;;;;;;;;;;
Águia de Marabá;—;2–0;3–1;2–2;2–2;1–2;1–0;;;;Maior goleada;Juazeiro 7–0 Cachoeiro-ES;;;;;;;;;;;
Andirá;0–1;—;2–1;2–1;0–1;2–1;4–1;;;;(diferença);Estádio Adauto Moraes, Juazeiro;;;;;;;;;;;
Genus;2–2;2–1;—;2–1;1–4;0–2;1–2;;;;;21 de outubro, 1ª fase;;;;;;;;;;;
Rio Negro-AM;4–3;4–1;6–2;—;1–1;3–0;6–1;;;;;;;;;;;;;;;;
Rio Negro-RR;1–0;1–1;4–1;1–0;—;2–2;0–0;;;;;;;;;;;;;;;;
Tiradentes-PA;0–1;1–1;6–0;6–0;1–1;—;1–2;;;;;;;;;;;;;;;;
Ypiranga-AP;0–0;3–1;5–0;1–0;1–0;4–0;—;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Grupo B;;;;;;;;;;;;;;;;;;;;;;;
Pos.;Equipes;P;J;V;E;D;GP;GC;SG;Classificação;;;;;;;;;;;;;
1; Ferroviário;23;10;7;2;1;12;3;9;Classificados à próxima fase;;;;;;;;;;;;;
2; Guarany de Sobral;23;10;7;2;1;15;7;8;;;;;;;;;;;;;;
3; River-PI;17;10;5;2;3;20;14;6;;;;;;;;;;;;;;
4; Caxiense;10;10;3;1;6;7;16;–9;;;;;;;;;;;;;;
5; Tocantinópolis;8;10;2;2;6;16;19;–3;;;;;;;;;;;;;;
6; Moto Club;3;10;0;3;7;5;16;–11;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;CXM;FAC;GSO;MOT;RIV;TEC;;;;;;;;;;;;;;;;;
Caxiense;—;0–0;0–1;2–0;0–1;3–0;;;;;;;;;;;;;;;;;
Ferroviário;3–0;—;0–0;2–0;1–0;1–0;;;;;;;;;;;;;;;;;
Guarany-CE;2–1;0–1;—;2–0;2–1;2–1;;;;;;;;;;;;;;;;;
Moto Club;0–1;1–3;1–1;—;1–1;1–1;;;;;;;;;;;;;;;;;
River-PI;5–0;2–0;1–3;1–0;—;5–4;;;;;;;;;;;;;;;;;
Tocantinópolis;4–0;0–1;1–2;2–1;3–3;—;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Grupo C;;;;;;;;;;;;;;;;;;;;;;;
Pos.;Equipes;P;J;V;E;D;GP;GC;SG;Classificação;;;;;;;;;;;;;
1; Treze;21;10;6;3;1;18;8;10;Classificados à próxima fase;;;;;;;;;;;;;
2; São Gonçalo-RN;19;10;5;4;1;16;6;10;;;;;;;;;;;;;;
3; Coríntians de Caicó;19;10;5;4;1;16;9;7;;;;;;;;;;;;;;
4; Guarabira;10;10;2;4;4;11;23;–12;;;;;;;;;;;;;;
5; Botafogo-PB;6;10;1;3;6;8;13;–5;;;;;;;;;;;;;;
6; Atlético Cajazeirense;5;10;1;2;7;12;22;–10;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;ACA;BPB;CRN;GBI;SGO;TRE;;;;;;;;;;;;;;;;;
Atlético-PB;—;0–0;2–3;2–1;1–2;2–3;;;;;;;;;;;;;;;;;
Botafogo-PB;3–0;—;0–1;2–3;0–1;0–1;;;;;;;;;;;;;;;;;
Coríntians-RN;3–2;3–0;—;1–1;1–1;3–1;;;;;;;;;;;;;;;;;
Guarabira;1–1;3–2;0–0;—;0–6;0–3;;;;;;;;;;;;;;;;;
São Gonçalo-RN;3–1;0–0;2–1;1–1;—;0–0;;;;;;;;;;;;;;;;;
Treze;3–1;1–1;0–0;5–1;1–0;—;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Grupo D;;;;;;;;;;;;;;;;;;;;;;;
Pos.;Equipes;P;J;V;E;D;GP;GC;SG;Classificação;;;;;;;;;;;;;
1; Corinthians-AL;18;10;6;0;4;21;21;0;Classificados à próxima fase;;;;;;;;;;;;;
2; Confiança;17;10;5;3;2;14;11;3;;;;;;;;;;;;;;
3; ASA;15;10;5;0;5;14;15;–1;;;;;;;;;;;;;;
4; Central;14;10;4;2;4;16;12;4;;;;;;;;;;;;;;
5; CSA;12;10;4;0;6;13;16;–6;;;;;;;;;;;;;;
6; Itabaiana;11;10;3;2;5;17;20;–3;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;ASA;CEN;CON;CTS;CSA;ITA;;;;;;;;;;;;;;;;;
ASA;—;1–3;2–1;1–0;1–3;2–1;;;;;;;;;;;;;;;;;
Central;0–1;—;2–1;6–0;1–2;2–1;;;;;;;;;;;;;;;;;
Confiança;2–1;0–0;—;4–1;1–0;2–2;;;;;;;;;;;;;;;;;
Corinthians-AL;4–3;1–0;3–0;—;3–2;5–2;;;;;;;;;;;;;;;;;
CSA;0–2;3–0;0–2;1–0;—;2–3;;;;;;;;;;;;;;;;;
Itabaiana;1–0;2–2;0–3;2–4;3–0;—;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Grupo E;;;;;;;;;;;;;;;;;;;;;;;
Pos.;Equipes;P;J;V;E;D;GP;GC;SG;Classificação;;;;;;;;;;;;;
1; Brasiliense;29;12;9;2;1;29;10;19;Classificados à próxima fase;;;;;;;;;;;;;
2; Atlético Goianiense;21;12;5;6;1;13;8;5;;;;;;;;;;;;;;
3; CENE;18;12;5;3;4;20;17;3;;;;;;;;;;;;;;
4; Goiânia;16;12;4;4;4;10;14;–4;;;;;;;;;;;;;;
5; União Rondonópolis;11;12;3;2;7;6;18;–12;;;;;;;;;;;;;;
6; Comercial-MS;11;12;2;5;5;11;12;–1;;;;;;;;;;;;;;
7; Real-GO;8;12;2;2;8;13;23;–10;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;ATG;BRS;CENE;ECC;GNA;REA;UNR;;;;;;;;;;;;;;;;
Atlético-GO;—;2–0;2–1;1–1;0–0;1–1;1–0;;;;;;;;;;;;;;;;
Brasiliense;2–1;—;1–1;2–1;4–0;3–2;5–0;;;;;;;;;;;;;;;;
CENE;2–2;1–2;—;1–3;2–0;2–1;3–0;;;;;;;;;;;;;;;;
Comercial-MS;1–1;0–0;2–3;—;1–1;1–2;0–1;;;;;;;;;;;;;;;;
Goiânia;0–0;0–4;1–3;0–0;—;4–0;2–0;;;;;;;;;;;;;;;;
Real-GO;0–1;1–3;3–1;0–2;1–2;—;1–1;;;;;;;;;;;;;;;;
União Rondonópolis;0–1;1–3;0–0;1–0;0–1;2–1;—;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Grupo F;;;;;;;;;;;;;;;;;;;;;;;
Pos.;Equipes;P;J;V;E;D;GP;GC;SG;Classificação;;;;;;;;;;;;;
1; Juazeiro;22;10;7;1;2;28;13;15;Classificados à próxima fase;;;;;;;;;;;;;
2; Independente-BA;19;10;6;1;3;17;9;8;;;;;;;;;;;;;;
3; Catuense;16;10;5;1;4;13;13;0;;;;;;;;;;;;;;
4; Colo Colo;12;10;3;3;4;12;14;–2;;;;;;;;;;;;;;
5; Estrela do Norte;8;10;2;2;6;8;15;–7;;;;;;;;;;;;;;
6; Cachoeiro-ES;7;10;1;4;5;8;22;–14;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;CCH;CAT;CCL;ENO;IBA;JUA;;;;;;;;;;;;;;;;;
Cachoeiro-ES;—;1–2;1–0;0–0;0–2;3–5;;;;;;;;;;;;;;;;;
Catuense;0–0;—;0–1;2–0;2–1;3–0;;;;;;;;;;;;;;;;;
Colo Colo;0–0;3–1;—;1–0;1–1;3–3;;;;;;;;;;;;;;;;;
Estrela do Norte;3–3;1–2;2–1;—;1–3;1–0;;;;;;;;;;;;;;;;;
Independente-BA;3–0;2–0;3–1;1–0;—;1–2;;;;;;;;;;;;;;;;;
Juazeiro;7–0;4–1;3–1;2–0;2–0;—;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Grupo G;;;;;;;;;;;;;;;;;;;;;;;
Pos.;Equipes;P;J;V;E;D;GP;GC;SG;Classificação;;;;;;;;;;;;;
1; Etti Jundiaí;26;12;8;2;2;22;9;13;Classificados à próxima fase;;;;;;;;;;;;;
2; Madureira;25;12;8;1;3;19;9;10;;;;;;;;;;;;;;
3; Santo André;23;12;7;2;3;20;11;9;;;;;;;;;;;;;;
4; Atlético Sorocaba;15;12;4;3;5;15;18;–3;;;;;;;;;;;;;;
5; Olaria;14;12;4;2;6;11;16;–5;;;;;;;;;;;;;;
6; America;9;12;2;3;7;7;21;–14;;;;;;;;;;;;;;
7; Bangu;7;12;2;1;9;9;19;–10;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;AME;ASO;BAN;EJU;MAD;OLA;SAD;;;;;;;;;;;;;;;;
America;—;1–1;1–0;1–0;0–1;1–2;1–1;;;;;;;;;;;;;;;;
Atlético Sorocaba;4–0;—;4–0;0–0;0–0;0–1;1–4;;;;;;;;;;;;;;;;
Bangu;4–1;0–2;—;1–2;0–2;0–1;0–1;;;;;;;;;;;;;;;;
Etti Jundiaí;4–0;2–0;3–0;—;3–1;2–1;1–2;;;;;;;;;;;;;;;;
Madureira;2–0;5–2;1–0;1–2;—;2–1;0–1;;;;;;;;;;;;;;;;
Olaria;1–1;0–1;0–3;1–1;0–2;—;3–0;;;;;;;;;;;;;;;;
Santo André;1–0;5–0;1–1;1–2;0–2;3–0;—;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Grupo H;;;;;;;;;;;;;;;;;;;;;;;
Pos.;Equipes;P;J;V;E;D;GP;GC;SG;Classificação;;;;;;;;;;;;;
1; Ipatinga;24;12;7;3;2;22;9;13;Classificados à próxima fase;;;;;;;;;;;;;
2; Uberlândia;24;12;7;3;2;20;13;7;;;;;;;;;;;;;;
3; Villa Nova;18;12;4;6;2;14;6;8;;;;;;;;;;;;;;
4; Atlético Três Corações;15;12;4;3;5;11;18;–7;;;;;;;;;;;;;;
5; Mamoré;12;12;2;6;4;14;19;–5;;;;;;;;;;;;;;
6; Tupi;11;12;2;5;5;13;17;–4;;;;;;;;;;;;;;
7; Uberaba;7;12;1;4;7;16;28;–12;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;ATC;IPA;MAM;TUP;USC;UEC;VNO;;;;;;;;;;;;;;;;
Atlético Três Corações;—;1–1;0–0;1–0;2–1;1–0;0–0;;;;;;;;;;;;;;;;
Ipatinga;3–2;—;5–1;4–0;2–1;2–2;0–0;;;;;;;;;;;;;;;;
Mamoré;1–2;0–3;—;1–1;4–1;1–1;1–0;;;;;;;;;;;;;;;;
Tupi;2–1;0–1;2–2;—;4–1;0–1;1–1;;;;;;;;;;;;;;;;
Uberaba;2–1;0–1;2–2;2–2;—;1–1;1–1;;;;;;;;;;;;;;;;
Uberlândia;3–0;1–0;2–1;2–1;5–3;—;1–3;;;;;;;;;;;;;;;;
Villa Nova;5–0;1–0;0–0;0–0;3–1;0–1;—;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Grupo I;;;;;;;;;;;;;;;;;;;;;;;
Pos.;Equipes;P;J;V;E;D;GP;GC;SG;Classificação;;;;;;;;;;;;;
1; Mogi Mirim;22;10;7;1;2;28;13;15;Classificados à próxima fase;;;;;;;;;;;;;
2; União Bandeirante;19;10;6;1;3;17;9;8;;;;;;;;;;;;;;
3; Friburguense;16;10;5;1;4;13;13;0;;;;;;;;;;;;;;
4; Ituano;12;10;3;3;4;12;14;–2;;;;;;;;;;;;;;
5; Rio Branco-SP;8;10;2;2;6;8;15;–7;;;;;;;;;;;;;;
6; Volta Redonda;7;10;1;4;5;8;22;–14;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;FRI;ITU;MOG;RBS;UBN;VRE;;;;;;;;;;;;;;;;;
Friburguense;—;0–0;3–0;1–0;2–2;0–0;;;;;;;;;;;;;;;;;
Ituano;1–1;—;0–0;0–0;3–0;2–0;;;;;;;;;;;;;;;;;
Mogi Mirim;2–0;1–0;—;1–0;4–1;2–1;;;;;;;;;;;;;;;;;
Rio Branco-SP;0–0;1–2;3–1;—;1–2;3–1;;;;;;;;;;;;;;;;;
União Bandeirante;5–2;2–1;1–1;0–0;—;3–0;;;;;;;;;;;;;;;;;
Volta Redonda;1–2;1–0;1–2;1–1;1–2;—;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Grupo J;;;;;;;;;;;;;;;;;;;;;;;
Pos.;Equipes;P;J;V;E;D;GP;GC;SG;Classificação;;;;;;;;;;;;;
1; Tubarão FC;25;12;7;4;1;20;9;11;Classificados à próxima fase;;;;;;;;;;;;;
2; Brasil de Pelotas;22;12;6;4;2;13;9;4;;;;;;;;;;;;;;
3; Iraty;19;12;5;4;3;21;18;3;;;;;;;;;;;;;;
4; São José-RS;15;12;4;3;5;14;18;–4;;;;;;;;;;;;;;
5; Pelotas;14;12;3;5;4;11;12;–1;;;;;;;;;;;;;;
6; Passo Fundo;10;12;2;4;6;8;17;–9;;;;;;;;;;;;;;
7; Marcílio Dias;9;12;2;2;8;13;17;–4;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;BPE;IRA;MDI;PFU;PEL;SJO;TFC;;;;;;;;;;;;;;;;
Brasil de Pelotas;—;2–0;1–0;2–1;1–0;1–0;1–1;;;;;;;;;;;;;;;;
Iraty;2–2;—;1–0;2–2;2–2;4–1;4–2;;;;;;;;;;;;;;;;
Marcílio Dias;3–1;2–2;—;4–0;0–1;1–2;2–3;;;;;;;;;;;;;;;;
Passo Fundo;1–0;1–2;0–0;—;0–0;2–0;1–2;;;;;;;;;;;;;;;;
Pelotas;0–1;0–1;3–1;0–0;—;1–1;0–0;;;;;;;;;;;;;;;;
São José-RS;0–0;2–1;1–0;4–0;3–4;—;0–0;;;;;;;;;;;;;;;;
Tubarão FC;1–1;2–0;2–0;1–0;2–0;4–0;—;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
2002;;;;;;;;;;;;;;;;;;;;;;;
Grupo 1 - Acre/Amazonas/Rondônia/Roraima;;;;;;;;;;Colocações finais;;A maior goleada do Campeonato Brasileiro Série C de 2002 foi a vitória do Santa Inês por 8 a 0 sobre o Tocantins-MA. [1];;;;;;;;;;;
Classificação - Chave 1;;;;;;;;;;Campeão; Brasiliense;;;;;;;;;;;;
Time;;PG;J;;;;;;;Vice-campeão; Marília;;;;;;;;;;;;
1; Nacional-AM;22;8;;;;;;;Estatísticas;;;;;;;;;;;;;
2; Atlético Roraima;12;8;;;;;;;Melhor marcador;Túlio Maravilha (Brasiliense);;;;;;;;;;;;
3; Rio Negro-AM;9;8;;;;;;;;Wellington Dias (Brasiliense) - 11 gols;;;;;;;;;;;;
4; Ji-Paraná;8;8;;;;;;;;;;;;;;;;;;;;
5; Andirá;3;8;;;;;;;;;;;;;;;;;;;;
"PG - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 2 - Amapá/Pará/Tocantins;;;;;;;;;;;;;;;;;;;;;;;
Classificação - Chave 1;;;;;;;;;;;;;;;;;;;;;;;
Time;;PG;J;;;;;;;;;;;;;;;;;;;;
1; Tuna Luso;11;6;;;;;;;;;;;;;;;;;;;;
2; Tocantinópolis;10;6;;;;;;;;;;;;;;;;;;;;
3; Ypiranga-AP;9;6;;;;;;;;;;;;;;;;;;;;
4; Águia de Marabá;4;6;;;;;;;;;;;;;;;;;;;;
"PG - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 3 - Maranhão [2];;;;;;;;;;;;;;;;;;;;;;;
Classificação - Chave 1;;;;;;;;;;;;;;;;;;;;;;;
Time;;PG;J;;;;;;;;;;;;;;;;;;;;
1; Santa Inês;12;4;;;;;;;;;;;;;;;;;;;;
2; Tocantins-MA;4;4;;;;;;;;;;;;;;;;;;;;
3; Imperatriz;1;4;;;;;;;;;;;;;;;;;;;;
"PG - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 4 - Ceará/Maranhão/Piauí [3];;;;;;;;;;;;;;;;;;;;;;;
Classificação - Chave 1;;;;;;;;;;;;;;;;;;;;;;;
Time;;PG;J;;;;;;;;;;;;;;;;;;;;
1; Ferroviário;8;4;;;;;;;;;;;;;;;;;;;;
2; River-PI;5;4;;;;;;;;;;;;;;;;;;;;
3; Maranhão;2;4;;;;;;;;;;;;;;;;;;;;
"PG - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 5 - Paraíba/Rio Grande do Norte [4];;;;;;;;;;;;;;;;;;;;;;;
Classificação - Chave 1;;;;;;;;;;;;;;;;;;;;;;;
Time;;PG;J;;;;;;;;;;;;;;;;;;;;
1; Treze;14;6;;;;;;;;;;;;;;;;;;;;
2; ABC;9;6;;;;;;;;;;;;;;;;;;;;
3; Atlético Cajazeirense;6;6;;;;;;;;;;;;;;;;;;;;
4; Botafogo-PB;2;6;;;;;;;;;;;;;;;;;;;;
"PG - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 6 - Alagoas/Sergipe;;;;;;;;;;;;;;;;;;;;;;;
Classificação - Chave 1;;;;;;;;;;;;;;;;;;;;;;;
Time;;PG;J;;;;;;;;;;;;;;;;;;;;
1; Confiança;11;6;;;;;;;;;;;;;;;;;;;;
2; CSA;11;6;;;;;;;;;;;;;;;;;;;;
3; Corinthians-AL;6;6;;;;;;;;;;;;;;;;;;;;
4; Sergipe;3;6;;;;;;;;;;;;;;;;;;;;
"PG - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 7 - Bahia/Sergipe;;;;;;;;;;;;;;;;;;;;;;;
Classificação - Chave 1;;;;;;;;;;;;;;;;;;;;;;;
Time;;PG;J;;;;;;;;;;;;;;;;;;;;
1; Itabaiana;10;6;;;;;;;;;;;;;;;;;;;;
2; Fluminense de Feira;9;6;;;;;;;;;;;;;;;;;;;;
3; Palmeiras do Nordeste;9;6;;;;;;;;;;;;;;;;;;;;
4; Colo Colo;3;6;;;;;;;;;;;;;;;;;;;;
"PG - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 8 - Espírito Santo/Minas Gerais [5];;;;;;;;;;;;;;;;;;;;;;;
Classificação - Chave 1;;;;;;;;;;;;;;;;;;;;;;;
Time;;PG;J;;;;;;;;;;;;;;;;;;;;
1; Ipatinga;6;4;;;;;;;;;;;;;;;;;;;;
2; Tupi;5;4;;;;;;;;;;;;;;;;;;;;
3; Rio Branco-ES;4;4;;;;;;;;;;;;;;;;;;;;
